Chromosome	Start	Stop	Length	Strand	Gene Symbol	gene_biotype	gene_id	gene_name	gene_source	gene_version	r542	r543	r544	r545	r546	r547	r548	r549
19	35774532	35788823	14291	+	ENSG00000004777	protein_coding	ENSG00000004777	ARHGAP33	ensembl_havana	19	1.12487	1.21623	1.12846	1.11674	1.11426	1.13841	1.11386	1.14804
16	23581014	23596317	15303	-	ENSG00000004779	protein_coding	ENSG00000004779	NDUFAB1	ensembl_havana	10	2.05149	1.97151	2.27398	2.1935	1.73758	1.7739	1.50845	1.65142
7	95583499	95596517	13018	-	ENSG00000004799	protein_coding	ENSG00000004799	PDK4	ensembl_havana	8	1.41821	1.33232	1.00596	1	1.0044	1.00769	1.07045	1.14875
3	50341110	50345733	4623	-	ENSG00000004838	protein_coding	ENSG00000004838	ZMYND10	ensembl_havana	14	1.05888	1.02228	1	1	1.01859	1.01083	1	1.01551
X	25003694	25016421	12727	-	ENSG00000004848	protein_coding	ENSG00000004848	ARX	ensembl_havana	8	1.0309	1.01619	1	1	1.05402	1.03738	1	1.00282
7	96120220	96322148	201928	-	ENSG00000004864	protein_coding	ENSG00000004864	SLC25A13	ensembl_havana	14	1.16357	1.15694	1.10359	1.09929	1.30133	1.33132	1.1512	1.19889
7	116953238	117230177	276939	+	ENSG00000004866	protein_coding	ENSG00000004866	ST7	ensembl_havana	22	1.07143	1.06221	1.05872	1.0655	1.10343	1.09495	1.05024	1.06705
17	47117703	47189423	71720	-	ENSG00000004897	protein_coding	ENSG00000004897	CDC27	ensembl_havana	12	4.16665	3.97907	4.14935	4.1621	2.815	2.68638	6.37221	8.48838
7	93424486	93574731	150245	-	ENSG00000004948	protein_coding	ENSG00000004948	CALCR	ensembl_havana	16	1	1	1.00155	1.00097	1.00019	1	1.00532	1.00811
X	11111301	11123087	11786	+	ENSG00000004961	protein_coding	ENSG00000004961	HCCS	ensembl_havana	15	3.04532	3.04796	1.86876	2.02813	4.22546	4.25882	2.24756	2.862
17	7225342	7234518	9176	-	ENSG00000004975	protein_coding	ENSG00000004975	DVL2	ensembl_havana	12	1.77461	1.74088	1.44522	1.4976	1.90539	1.9332	2.48312	3.10245
16	2852730	2858171	5441	-	ENSG00000005001	protein_coding	ENSG00000005001	PRSS22	ensembl_havana	10	1.12786	1.18931	1	1	1.22114	1.30372	1.00544	1
19	18831959	18868231	36272	+	ENSG00000005007	protein_coding	ENSG00000005007	UPF1	ensembl_havana	14	2.48513	2.29116	2.17121	2.1507	2.79127	2.85274	1.92005	2.21105
7	26667068	26995240	328172	-	ENSG00000005020	protein_coding	ENSG00000005020	SKAP2	ensembl_havana	13	1.30562	1.2557	1.57429	1.57884	1.28423	1.27955	1.16435	1.22466
X	119468422	119471397	2975	+	ENSG00000005022	protein_coding	ENSG00000005022	SLC25A5	ensembl_havana	6	77.0569	68.3074	83.4568	80.8479	159.499	161.857	69.4776	92.5204
4	109560209	109688720	128511	+	ENSG00000005059	protein_coding	ENSG00000005059	MCUB	ensembl_havana	16	1.12686	1.11622	1.07896	1.07197	1.08984	1.08241	1.14642	1.16882
7	27181157	27185233	4076	-	ENSG00000005073	protein_coding	ENSG00000005073	HOXA11	ensembl_havana	6	2.23113	1.87606	1.50749	1.46676	1.58336	1.32557	1.00726	1
7	102473128	102478923	5795	-	ENSG00000005075	protein_coding	ENSG00000005075	POLR2J	ensembl_havana	16	1.18424	1.18444	1.35747	1.37428	1.1065	1.12975	1.13878	1.33473
17	5440917	5468983	28066	-	ENSG00000005100	protein_coding	ENSG00000005100	DHX33	ensembl_havana	13	2.51414	2.48883	2.03183	2.17428	2.95367	2.84043	2.88161	3.3969
17	43640389	43661923	21534	-	ENSG00000005102	protein_coding	ENSG00000005102	MEOX1	ensembl_havana	14	1.00281	1.01276	1.02762	1.03126	1.01463	1.01512	1	1
7	11370365	11832199	461834	-	ENSG00000005108	protein_coding	ENSG00000005108	THSD7A	ensembl_havana	17	1.0021	1.00149	1.00006	1.00013	1.01197	1.01578	1.00038	1.00031
17	34980512	35009744	29232	+	ENSG00000005156	protein_coding	ENSG00000005156	LIG3	ensembl_havana	12	1.76542	1.74125	1.59964	1.57031	2.44868	2.44956	1.99325	2.41859
12	47661249	47706031	44782	-	ENSG00000005175	protein_coding	ENSG00000005175	RPAP3	ensembl_havana	10	2.35015	2.37243	2.84705	2.63203	2.84048	2.78466	2.30346	2.74162
16	20610243	20797582	187339	+	ENSG00000005187	protein_coding	ENSG00000005187	ACSM3	ensembl_havana	12	1.00302	1.00337	1.00016	1.00016	1.00087	1.00096	1.00552	1.00196
16	20806429	20849666	43237	+	ENSG00000005189	protein_coding	ENSG00000005189	REXO5	ensembl_havana	20	1.11752	1.11991	1.14352	1.10899	1.14179	1.1384	1.039	1.05723
16	57428187	57447421	19234	-	ENSG00000005194	protein_coding	ENSG00000005194	CIAPIN1	ensembl_havana	15	3.04062	2.62086	2.38668	2.16605	2.28499	2.27046	1.83021	2.10352
19	2328615	2355096	26481	+	ENSG00000005206	protein_coding	ENSG00000005206	SPPL2B	ensembl_havana	17	1.23872	1.32804	1.28414	1.29069	1.18716	1.24394	1.13295	1.18822
9	35104112	35116342	12230	-	ENSG00000005238	protein_coding	ENSG00000005238	ATOSB	ensembl_havana	20	1.89527	1.87592	1.72939	1.83045	1.2155	1.24158	2.016	2.53639
17	48026167	48038031	11864	-	ENSG00000005243	protein_coding	ENSG00000005243	COPZ2	ensembl_havana	10	1.05099	1.10997	1.09371	1.13322	1	1.00211	1	1.00907
7	107044705	107161812	117107	+	ENSG00000005249	protein_coding	ENSG00000005249	PRKAR2B	ensembl_havana	14	1.37864	1.31958	1.16295	1.15796	2.49448	2.35019	1.23545	1.29641
X	11758159	11775773	17614	+	ENSG00000005302	protein_coding	ENSG00000005302	MSL3	ensembl_havana	19	2.57653	2.44443	3.77457	3.28881	3.30809	3.27016	2.6007	3.12134
16	3725054	3880714	155660	-	ENSG00000005339	protein_coding	ENSG00000005339	CREBBP	ensembl_havana	15	1.25863	1.27837	1.29601	1.29653	1.27551	1.27699	1.16649	1.21263
17	58301228	58328796	27568	-	ENSG00000005379	protein_coding	ENSG00000005379	TSPOAP1	ensembl_havana	17	1.01097	1.02242	1.00094	1	1.00831	1.00817	1.00644	1.00911
2	75652000	75710986	58986	-	ENSG00000005436	protein_coding	ENSG00000005436	GCFC2	ensembl_havana	14	1.59584	1.62392	1.62246	1.60934	1.59058	1.58153	1.74226	1.95372
2	74421678	74425756	4078	+	ENSG00000005448	protein_coding	ENSG00000005448	WDR54	ensembl_havana	17	1.8752	1.6483	2.40124	2.0479	1.20372	1.37453	3.75682	4.24471
7	87345664	87399795	54131	+	ENSG00000005469	protein_coding	ENSG00000005469	CROT	ensembl_havana	12	1.25368	1.20868	1.06735	1.11571	1.13548	1.15727	1.15577	1.2047
7	104940943	105115020	174077	+	ENSG00000005483	protein_coding	ENSG00000005483	KMT2E	ensembl_havana	23	1.23522	1.25809	1.43281	1.40177	1.67058	1.62463	1.21125	1.2959
7	75842602	75888927	46325	+	ENSG00000005486	protein_coding	ENSG00000005486	RHBDD2	ensembl_havana	17	1.17759	1.14453	1.17414	1.21988	1.1849	1.21565	1.06642	1.07508
16	981770	986980	5210	+	ENSG00000005513	protein_coding	ENSG00000005513	SOX8	ensembl_havana	10	1.15094	1.14498	1	1	1	1	1	1.00688
6	82169986	82247755	77769	-	ENSG00000005700	protein_coding	ENSG00000005700	IBTK	ensembl_havana	15	3.40587	3.20569	4.62007	4.13509	2.9885	2.90143	2.53806	3.1353
11	3339261	3379223	39962	-	ENSG00000005801	protein_coding	ENSG00000005801	ZNF195	ensembl_havana	18	1.57295	1.84458	1.72467	1.74415	2.04664	1.87341	1.72848	2.1387
13	77042474	77327095	284621	-	ENSG00000005810	protein_coding	ENSG00000005810	MYCBP2	ensembl_havana	20	1.5873	1.65311	1.37025	1.36568	1.62001	1.57997	1.28308	1.43827
13	76992598	77027196	34598	-	ENSG00000005812	protein_coding	ENSG00000005812	FBXL3	ensembl_havana	11	5.87699	5.36064	3.98653	3.84698	6.89747	6.75852	4.4779	5.81783
16	30472658	30523568	50910	+	ENSG00000005844	protein_coding	ENSG00000005844	ITGAL	ensembl_havana	19	1.00059	1.00067	1.00051	1.00057	1.01294	1.01623	1	1
17	50094737	50112153	17416	+	ENSG00000005882	protein_coding	ENSG00000005882	PDK2	ensembl_havana	12	1.70025	1.48498	1.17335	1.19831	1.0329	1.04744	1.55039	1.65084
17	50055968	50090482	34514	+	ENSG00000005884	protein_coding	ENSG00000005884	ITGA3	ensembl_havana	18	9.50488	7.46725	4.04084	3.65945	1.77442	1.90028	7.20345	8.89207
X	24149173	24216256	67083	+	ENSG00000005889	protein_coding	ENSG00000005889	ZFX	ensembl_havana	16	2.65833	2.71156	3.20436	3.18157	2.78038	2.80499	1.81105	2.1653
X	120426148	120469366	43218	-	ENSG00000005893	protein_coding	ENSG00000005893	LAMP2	ensembl_havana	17	8.70473	7.46204	9.37476	9.84403	14.8916	14.7137	9.35345	11.9217
17	44372180	44389650	17470	-	ENSG00000005961	protein_coding	ENSG00000005961	ITGA2B	ensembl_havana	19	1.03982	1.02358	1.00592	1.00503	1.00984	1.02293	1.00339	1.01437
16	19501693	19522124	20431	-	ENSG00000006007	protein_coding	ENSG00000006007	GDE1	ensembl_havana	12	1.97658	1.7377	1.35227	1.34227	2.58075	2.64746	1.65856	1.90251
19	18588685	18592338	3653	+	ENSG00000006015	protein_coding	ENSG00000006015	REX1BD	ensembl_havana	18	1.56303	1.78952	1.43177	1.48876	1.75286	1.78822	1.73699	1.962
19	18572220	18607742	35522	-	ENSG00000006016	protein_coding	ENSG00000006016	CRLF1	ensembl_havana	12	1.01107	1.00894	1.00347	1.00634	1.01109	1.01013	1.00124	1.00678
17	47807372	47821804	14432	-	ENSG00000006025	protein_coding	ENSG00000006025	OSBPL7	ensembl_havana	13	1.32275	1.47582	1.08062	1.09938	1.18659	1.13706	1.1722	1.27083
17	32927910	32945107	17197	+	ENSG00000006042	protein_coding	ENSG00000006042	TMEM98	ensembl_havana	12	1.08618	1.0599	1.01052	1.00851	1.00666	1.00582	1.09634	1.12511
17	7288263	7294640	6377	-	ENSG00000006047	protein_coding	ENSG00000006047	YBX2	ensembl_havana	13	1.07589	1.04307	1	1	1.66038	1.67925	1	1.00562
17	45263119	45317030	53911	-	ENSG00000006062	protein_coding	ENSG00000006062	MAP3K14	ensembl_havana	18	1.24116	1.22461	1.00959	1.01466	1.04725	1.04737	1.17722	1.24673
11	60924460	60937160	12700	+	ENSG00000006118	protein_coding	ENSG00000006118	TMEM132A	ensembl_havana	15	3.86268	3.48996	8.50402	8.68979	2.02341	2.30514	1.54934	1.69109
17	35578046	35726414	148368	+	ENSG00000006125	protein_coding	ENSG00000006125	AP2B1	ensembl_havana	18	3.52124	3.23348	1.96765	1.93306	2.13023	2.20292	5.14879	6.47844
16	3283283	3301402	18119	+	ENSG00000006194	protein_coding	ENSG00000006194	ZNF263	ensembl_havana	11	2.05052	1.97179	1.9649	2.02612	2.17481	2.21961	1.46465	1.59691
16	57372477	57385045	12568	+	ENSG00000006210	protein_coding	ENSG00000006210	CX3CL1	ensembl_havana	7	1.85434	1.62561	1.02057	1.02329	2.18758	2.28298	1	1.00571
17	50543058	50555853	12795	+	ENSG00000006282	protein_coding	ENSG00000006282	SPATA20	ensembl_havana	22	1.96684	1.92579	1.72345	1.70914	1.40976	1.40312	1.9642	2.32281
16	3018445	3022384	3939	+	ENSG00000006327	protein_coding	ENSG00000006327	TNFRSF12A	ensembl_havana	14	12.4258	12.105	30.4735	29.6598	8.10557	9.72739	10.2833	11.3962
14	70722526	70809535	87009	-	ENSG00000006432	protein_coding	ENSG00000006432	MAP3K9	ensembl_havana	16	1.62294	1.61836	1.30846	1.30915	1.67859	1.71538	1.21353	1.3602
7	39623565	39708121	84556	+	ENSG00000006451	protein_coding	ENSG00000006451	RALA	ensembl_havana	8	1.97332	1.86085	2.61915	2.41057	2.77159	2.63543	1.98738	2.49701
7	98291650	98401091	109441	-	ENSG00000006453	protein_coding	ENSG00000006453	BAIAP2L1	ensembl_havana	14	1.16963	1.13852	1.21844	1.16961	1.18386	1.17747	1.01865	1.02851
7	140084746	140176984	92238	-	ENSG00000006459	protein_coding	ENSG00000006459	KDM7A	ensembl_havana	11	1.08231	1.0845	3.83931	3.46577	1.24971	1.25136	1.11643	1.16095
7	13891229	13991426	100197	-	ENSG00000006468	protein_coding	ENSG00000006468	ETV1	ensembl_havana	15	1.15154	1.12747	1.88669	1.99961	1.17498	1.15293	1.87607	2.36279
7	141551278	141655245	103967	+	ENSG00000006530	protein_coding	ENSG00000006530	AGK	ensembl_havana	18	1.24032	1.25644	1.38166	1.33717	1.39898	1.41442	1.22951	1.29831
11	68008578	68029283	20705	+	ENSG00000006534	protein_coding	ENSG00000006534	ALDH3B1	ensembl_havana	17	2.45643	1.96338	1.09241	1.14419	1.26012	1.22505	1.20848	1.30654
1	54779712	54801324	21612	-	ENSG00000006555	protein_coding	ENSG00000006555	TTC22	ensembl_havana	11	1.12736	1.19541	1	1	1.04242	1.0336	1.00137	1
7	77798773	77957504	158731	+	ENSG00000006576	protein_coding	ENSG00000006576	PHTF2	ensembl_havana	17	1.6431	1.60371	1.65892	1.67674	1.61201	1.59405	1.98673	2.15825
7	75769533	75789897	20364	-	ENSG00000006606	protein_coding	ENSG00000006606	CCL26	ensembl_havana	9	1.00297	1.01012	1.00762	1.01294	1	1	1.00436	1
2	241356285	241494842	138557	+	ENSG00000006607	protein_coding	ENSG00000006607	FARP2	ensembl_havana	14	1.11308	1.12015	1.22311	1.23491	1.55997	1.55733	1.21782	1.29636
7	30496621	30504842	8221	-	ENSG00000006625	protein_coding	ENSG00000006625	GGCT	ensembl_havana	18	6.32003	6.8471	3.07581	2.92969	8.1053	7.45677	2.94691	3.86796
7	87876216	87909554	33338	+	ENSG00000006634	protein_coding	ENSG00000006634	DBF4	ensembl_havana	8	2.5048	2.51772	2.54568	2.50306	3.95253	3.78626	2.65146	2.98475
19	3594507	3606876	12369	-	ENSG00000006638	protein_coding	ENSG00000006638	TBXA2R	ensembl_havana	13	1.01467	1.0111	1.01254	1.00947	1.01621	1.01012	1.04066	1.02609
7	112422887	112481018	58131	+	ENSG00000006652	protein_coding	ENSG00000006652	IFRD1	ensembl_havana	15	3.37004	3.34466	5.12729	4.64139	7.09042	7.03643	3.15309	3.82686
17	14069490	14231737	162247	+	ENSG00000006695	protein_coding	ENSG00000006695	COX10	ensembl_havana	12	1.10553	1.10157	1.04575	1.04675	1.10015	1.09267	1.08173	1.10089
7	74453790	74602606	148816	+	ENSG00000006704	protein_coding	ENSG00000006704	GTF2IRD1	ensembl_havana	11	1.0437	1.03922	1.07436	1.06353	1.06911	1.06343	1.02545	1.03855
19	39385629	39391155	5526	-	ENSG00000006712	protein_coding	ENSG00000006712	PAF1	ensembl_havana	15	2.80076	2.85157	1.56616	1.81039	2.56134	2.30945	2.27956	2.62228
7	38722974	38932395	209421	-	ENSG00000006715	protein_coding	ENSG00000006715	VPS41	ensembl_havana	16	1.24134	1.22297	1.14445	1.15206	1.24254	1.25335	1.16628	1.24383
17	12789498	12991644	202146	+	ENSG00000006740	protein_coding	ENSG00000006740	ARHGAP44	ensembl_havana	18	1.01167	1.01478	1.00026	1.00029	1.00113	1.00099	1.00176	1.0039
17	12991612	13018066	26454	-	ENSG00000006744	protein_coding	ENSG00000006744	ELAC2	ensembl_havana	19	2.11248	1.95267	1.60502	1.7059	2.15548	2.3033	2.42703	2.63069
7	12570577	12660183	89606	+	ENSG00000006747	protein_coding	ENSG00000006747	SCIN	ensembl_havana	15	1.00068	1.00077	1	1	1.00671	1.0109	1.00957	1.01801
X	2903972	2929350	25378	-	ENSG00000006756	protein_coding	ENSG00000006756	ARSD	ensembl_havana	16	1.86527	1.74953	1.00102	1.00411	1.44702	1.47554	1.0461	1.04945
X	7898247	7927740	29493	-	ENSG00000006757	protein_coding	ENSG00000006757	PNPLA4	ensembl_havana	12	1.37637	1.31433	1	1.00099	1.06897	1.05688	1.04313	1.06809
12	1688574	1788675	100101	+	ENSG00000006831	protein_coding	ENSG00000006831	ADIPOR2	ensembl_havana	10	2.6951	2.56752	1.94229	1.99532	2.29701	2.40097	1.79799	2.18287
5	134286350	134371048	84698	-	ENSG00000006837	protein_coding	ENSG00000006837	CDKL3	ensembl_havana	12	1.00237	1.00584	1.00591	1.00714	1.00886	1.00804	1.0121	1.01011
19	45079288	45305285	225997	+	ENSG00000007047	protein_coding	ENSG00000007047	MARK4	ensembl_havana	16	1.02449	1.02719	1.01121	1.01373	1.02713	1.03346	1.00995	1.01253
4	15963076	16084379	121303	-	ENSG00000007062	protein_coding	ENSG00000007062	PROM1	ensembl_havana	12	1.00748	1.00877	1.00618	1.00651	5.37923	4.8327	1.00634	1.0068
19	17933015	17943992	10977	+	ENSG00000007080	protein_coding	ENSG00000007080	CCDC124	ensembl_havana	11	1.0496	1.03753	1.04711	1.06399	1.07568	1.09352	1.06468	1.098
17	2593210	2685616	92406	+	ENSG00000007168	protein_coding	ENSG00000007168	PAFAH1B1	ensembl_havana	14	4.09404	3.70305	2.1737	2.21379	4.64834	4.69128	3.77514	4.77162
17	28614446	28645455	31009	-	ENSG00000007202	protein_coding	ENSG00000007202	BLTP2	ensembl_havana	16	9.40117	8.6175	4.5856	4.81078	10.1521	11.0475	12.3737	15.7161
17	9910606	10198607	288001	-	ENSG00000007237	protein_coding	ENSG00000007237	GAS7	ensembl_havana	19	1.0042	1.00227	1	1	1.05361	1.04303	1.00021	1.00075
19	45162928	45178238	15310	-	ENSG00000007255	protein_coding	ENSG00000007255	TRAPPC6A	ensembl_havana	10	1.02173	1.01346	1.00338	1	1.0131	1.01635	1	1
